ev_id,year,damage,severe,component_group,component,phase,size,mass,wildlife_hit,component_hit,phase_hit,size_hit,component_consistent,phase_consistent,size_consistent,severe_consistent,mapped_consistent,evidence_snippet
20081008X93641,2008,SUBS,yes,residual component,other,departure,LARGE,1,bird; deer,none,takeoff; takeoff roll,deer,1,1,1,1,1,"the pilot stated that during the takeoff roll while accelerating through 50 knots, the airplane collided with one of a group of four deer that ran across the runway from the left t"
20090603X25406,2009,DEST,yes,residual component,other,unknown,LARGE,UNKNOWN,deer,none,none,deer,1,1,1,1,1,investigators reported that the pilot was performing aerial survey in search of a wounded deer. witnesses reported that the airplane stalled at a low altitude and impacted a creek.
20090724X20330,2009,DEST,yes,residual component,other,unknown,UNKNOWN,UNKNOWN,turkey,none,none,none,1,1,1,1,1,"an bell 206, registration tc-hek, crashed in mountainous terrain near kahramanmaras city, turkey. the pilot and five passengers onboard were fatally injured and aircraft was destr"
20090810X71628,2009,SUBS,yes,residual component,other,arrival,LARGE,UNKNOWN,bird; deer,none,landing; touchdown,deer,1,1,1,1,1,"the pilot stated that during a night landing, he had a smooth touchdown and during roll out, moving about 25 to 30 knots, he heard a ""loud thump."" the pilot said that his passenge"
20100226X95334,2009,SUBS,yes,residual component,other,ground,UNKNOWN,UNKNOWN,wildlife,none,runway,none,1,1,1,1,1,"9, a xian aircraft industries ma-60, registration z-wpj, operated by air zimbabwe, struck wildlife on the runway during takeof at harare, zimbabwe. the aircraft exited the runway"
20101203X60119,2010,,yes,residual component,other,unknown,UNKNOWN,UNKNOWN,eagle,none,none,none,1,1,1,1,1,"while deplaning from an embraer emb-145lr, n678ae, registered to and operated by american eagle airlines under the provisions of 14 code of federal regulations part 121 as a schedu"
20110328X80923,2011,,yes,residual component,other,departure,UNKNOWN,UNKNOWN,eagle,none,climb,none,1,1,1,1,1,"011, about 0729 central daylight time, an embraer emb-145lr, n931ae, operated by american eagle airlines as flight 4355, sustained no damage when it encountered turbulence while in"
20110629X42820,2011,SUBS,yes,residual component,other,unknown,UNKNOWN,UNKNOWN,eagle,none,none,none,1,1,1,1,1,"on june 23, 2011 at 1020 universal coordinated time, a hitchcock christen eagle ii, n21h, collided with the terrain while performing an aerobatic maneuver at tabing airfield, padan"
20120424X32715,2012,SUBS,yes,residual component,other,departure,LARGE,UNKNOWN,coyote; hawk,none,takeoff,coyote,1,1,1,1,1,"on april 22, 2012, about 1130 central daylight time, a rans s-6s coyote ii, n137ab, impacted terrain during takeoff at new braunfels municipal airport (kbaz), new braunfels, texas."
20120706X92817,2012,,yes,residual component,other,en route,UNKNOWN,UNKNOWN,turkey,none,cruise,none,1,1,1,1,1,"c, a sunexpress deutschland b737-800, registration d-asxe, encountered turbulence during cruise between gaziantep, turkey, and frankfurt, germany. of the 86 passengers and crew o"
20120817X22343,2012,DEST,yes,residual component,other,unknown,UNKNOWN,UNKNOWN,turkey,none,none,none,1,1,1,1,1,"board were fatally injured. the flight originated from hazerfan airport (ltbw), istanbul, turkey. the investigation is under the jurisdiction of the government of the republic"
20121014X02447,2012,SUBS,yes,residual component,other,unknown,UNKNOWN,UNKNOWN,turkey,none,none,none,1,1,1,1,1,"the directorate general of civil aviation (dgca), of the republic of turkey, has notified the ntsb of an accident involving a boeing 737-800 that occurred on october 14, 2012. the"
20121207X91829,2012,SUBS,yes,residual component,other,unknown,MEDIUM,UNKNOWN,bird; birds,none,none,bird,1,1,1,1,1,had asked them if they wanted to get closer to the water and if they wanted to chase some birds. the pilot descended the helicopter out of mountainous terrain and then continued ov
20130306X52758,2012,SUBS,yes,residual component,other,unknown,UNKNOWN,1,turkey,none,none,none,1,1,1,1,1,"cal association, impacted mountainous terrain during an instructional flight, near izmir, turkey. the flight instructor was fatally injured and the student pilot was seriously inju"
20130306X54440,2013,SUBS,yes,residual component,other,unknown,UNKNOWN,1,turkey,none,none,none,1,1,1,1,1,"h aeronautical association, impacted terrain during an instructional flight, near mersin, turkey. the flight instructor was fatally injured and the student pilot was seriously inju"
20160914X84628,2015,DEST,yes,residual component,other,departure,LARGE,UNKNOWN,coyote,none,departure,coyote,1,1,1,1,1,"on january 1, 2015, about 1700 local time, a rans s-6 coyote ii, portuguese registration cs-ujf, impacted terrain after departure from the beja civil aerodrome (lpbe), beja, portug"
20170310X32632,2017,DEST,yes,residual component,other,departure,UNKNOWN,UNKNOWN,turkey,none,takeoff,none,1,1,1,1,1,", a sikorsky s-76c++ helicopter, turkish registration tc-hez, was destroyed shortly after takeoff from the istanbul ataturk airport (ltba), istanbul, turkey. the two pilots and the"
20170922X30045,2017,DEST,yes,residual component,other,departure,UNKNOWN,UNKNOWN,turkey,none,departure; departed,none,1,1,1,1,1,"troyed by postimpact fire after a runway excursion at istanbul atatürk airport, istanbul, turkey (ltba). the flight departed ltba at 1805, declared an emergency shortly after depar"
20180519X83954,2018,DEST,yes,residual component,other,departure,LARGE,UNKNOWN,bird; birds; coyote,none,climb,coyote,1,1,1,1,1,r was destroyed. the helicopter was registered to longhorn helicopters and operated by hogbirds under the provisions of title 14 code of federal regulations part 91 as an aerial to
