test_year,operation_stratum,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,weighted_capture_rate,weighted_lift
2012,low operations,component_transition_score,0.05,2119,112,106,42,0.375,0.39622641509433965,0.052855120339782916,7.496462264150944,0.3754433007830126,7.437453000291096
2012,low operations,component_transition_score,0.1,2119,112,212,69,0.6160714285714286,0.32547169811320753,0.052855120339782916,6.157808288409703,0.61552056274847,6.127611951890272
2012,medium operations,component_transition_score,0.05,1843,131,93,43,0.3282442748091603,0.46236559139784944,0.07107976125881714,6.504883854551425,0.3276524220345776,6.531055132153645
2012,medium operations,component_transition_score,0.1,1843,131,185,65,0.4961832061068702,0.35135135135135137,0.07107976125881714,4.943057561378173,0.49494569088671353,4.946244838871067
2012,high operations,component_transition_score,0.05,1681,93,85,41,0.44086021505376344,0.4823529411764706,0.055324211778703156,8.71865907653384,0.440253681791236,8.708682093300293
2012,high operations,component_transition_score,0.1,1681,93,169,52,0.5591397849462365,0.3076923076923077,0.055324211778703156,5.5616211745244,0.5579597788838426,5.548581819125542
2012,all matched,airport_operations_only,0.05,5643,336,283,25,0.0744047619047619,0.08833922261484099,0.05954279638490165,1.4836256940938921,0.06581143683789613,1.4924078722378238
2012,all matched,airport_operations_only,0.1,5643,336,565,33,0.09821428571428571,0.0584070796460177,0.05954279638490165,0.9809260429835651,0.08723309909936794,0.9791483362714002
2012,low operations,airport_operations_only,0.05,2119,112,106,2,0.017857142857142856,0.018867924528301886,0.052855120339782916,0.3569743935309973,0.01677283182834025,0.3545079530573927
2012,low operations,airport_operations_only,0.1,2119,112,212,10,0.08928571428571429,0.04716981132075472,0.052855120339782916,0.8924359838274933,0.08414407954205137,0.8872775084318134
2012,medium operations,airport_operations_only,0.05,1843,131,93,4,0.030534351145038167,0.043010752688172046,0.07107976125881714,0.6051054748419931,0.02955004201939938,0.6073438248319762
2012,medium operations,airport_operations_only,0.1,1843,131,185,11,0.08396946564885496,0.05945945945945946,0.07107976125881714,0.8365174334639984,0.08143680821935259,0.8402455403144913
